Car_Name,Car_Brand,Year,Transmission,Mileage,Price
Ford E-150,Ford,2010,Automatic,72000,540000
Ford E-150,Ford,2010,Automatic,110000,558000
Ford E-150,Ford,2010,Automatic,27300,620000
Ford Econoline,Ford,2011,Automatic,60000,550000
Ford Ecosport,Ford,2017,Automatic,78000,320000
Ford Ecosport,Ford,2016,Automatic,105000,320000
Ford Ecosport,Ford,2015,Manual,55168,358000
Ford EcoSport,Ford,2018,Manual,36000,359000
Ford Ecosport,Ford,2016,Automatic,77000,360000
Ford Ecosport,Ford,2015,Automatic,91000,360000
Ford Ecosport,Ford,2015,Automatic,60000,375000
Ford Ecosport,Ford,2015,Automatic,49000,380000
Ford Ecosport,Ford,2017,Manual,50000,395000
Ford Ecosport,Ford,2016,Automatic,61000,395000
Ford Ecosport,Ford,2015,Automatic,99999,398000
Ford Ecosport,Ford,2015,Automatic,99000,398000
Ford Ecosport,Ford,2018,Manual,28000,398000
Ford Ecosport,Ford,2015,Manual,19000,398000
Ford EcoSport,Ford,2017,Manual,45000,400000
Ford Ecosport,Ford,2015,Automatic,29000,405000
Ford Ecosport,Ford,2016,Automatic,48214,418000
Ford Ecosport,Ford,2015,Automatic,68000,418000
Ford Ecosport,Ford,2017,Automatic,51000,420000
Ford Ecosport,Ford,2017,Automatic,54000,420000
Ford Ecosport,Ford,2017,Automatic,43336,428000
Ford Ecosport,Ford,2016,Automatic,12345,435000
Ford Ecosport,Ford,2015,Manual,47000,438000
Ford Ecosport,Ford,2016,Automatic,123,438000
Ford Ecosport,Ford,2017,Automatic,47021,438000
Ford Ecosport,Ford,2015,Automatic,60000,438000
Ford Ecosport,Ford,2016,Automatic,50000,440000
Ford Ecosport,Ford,2015,Automatic,70000,448000
Ford Ecosport,Ford,2016,Automatic,89776,450000
Ford Ecosport,Ford,2016,Automatic,52500,450000
Ford Ecosport,Ford,2017,Automatic,60000,450000
Ford Ecosport,Ford,2018,Manual,32000,458000
Ford Ecosport,Ford,2018,Manual,50000,458000
Ford Ecosport,Ford,2016,Automatic,73000,458000
Ford Ecosport,Ford,2016,Automatic,72000,458000
Ford Ecosport,Ford,2017,Automatic,40000,465000
Ford Ecosport,Ford,2016,Automatic,56000,468000
Ford Ecosport,Ford,2016,Automatic,46000,468000
Ford Ecosport,Ford,2016,Automatic,49000,468000
Ford Ecosport,Ford,2016,Automatic,73000,468000
Ford Ecosport,Ford,2016,Automatic,59000,468000
Ford Ecosport,Ford,2016,Automatic,66000,468000
Ford Ecosport,Ford,2017,Automatic,31000,468000
Ford Ecosport,Ford,2017,Automatic,76000,468000
Ford Ecosport,Ford,2016,Automatic,123,468000
Ford Ecosport,Ford,2015,Automatic,60000,478000
Ford Ecosport,Ford,2015,Automatic,48000,478000
Ford Ecosport,Ford,2015,Automatic,58000,478000
Ford Ecosport,Ford,2015,Automatic,42000,478000
Ford Ecosport,Ford,2018,Automatic,28000,480000
Ford Ecosport,Ford,2017,Automatic,60000,480000
Ford Ecosport,Ford,2018,Manual,50000,488000
Ford Ecosport,Ford,2016,Automatic,50000,488000
Ford Ecosport,Ford,2018,Automatic,52754,488000
Ford Ecosport,Ford,2016,Automatic,12000,488000
Ford Ecosport,Ford,2016,Automatic,47000,488000
Ford Ecosport,Ford,2019,Manual,25000,495000
Ford Ecosport,Ford,2016,Automatic,53000,498000
Ford Ecosport,Ford,2018,Manual,28000,498000
Ford Ecosport,Ford,2019,Manual,40000,498000
Ford Ecosport,Ford,2017,Automatic,49000,498000
Ford Ecosport,Ford,2017,Automatic,74000,498000
Ford Ecosport,Ford,2017,Automatic,29000,498000
Ford EcoSport,Ford,2017,Automatic,31000,498000
Ford Ecosport,Ford,2017,Automatic,59000,518000
Ford Ecosport,Ford,2017,Automatic,42000,518000
Ford Ecosport,Ford,2018,Automatic,54000,518000
Ford Ecosport,Ford,2018,Automatic,28000,518000
Ford Ecosport,Ford,2017,Automatic,58000,518000
Ford Ecosport,Ford,2017,Automatic,26000,528000
Ford Ecosport,Ford,2018,Automatic,55000,528000
Ford Ecosport,Ford,2018,Automatic,45000,548000
Ford Ecosport,Ford,2019,Automatic,44500,550000
Ford Ecosport,Ford,2018,Automatic,8000,568000
Ford Ecosport,Ford,2019,Automatic,32000,585000
Ford Ecosport,Ford,2018,Automatic,67000,598000
Ford Ecosport,Ford,2019,Automatic,25000,625000
Ford Ecosport,Ford,2019,Automatic,32000,638000
Ford Ecosport,Ford,2020,Automatic,29000,668000
Ford EcoSport,Ford,2019,Automatic,32000,668000
Ford Ecosport,Ford,2020,Automatic,19000,688000
Ford Ecosport,Ford,2019,Automatic,26000,698000
Ford Ecosport,Ford,2020,Automatic,38683,700000
Ford Ecosport,Ford,2020,Automatic,38703,700000
Ford Ecosport,Ford,2020,Automatic,38703,795000
Ford EcoSport,Ford,2020,Automatic,11000,820000
Ford Ecosport,Ford,2020,Automatic,10000,840000
Ford Escape,Ford,2004,Automatic,12345,225000
Ford Escape,Ford,2006,Automatic,12345,275000
Ford Escape,Ford,2009,Automatic,87000,300000
Ford Escape,Ford,2013,Automatic,52500,330000
Ford Escape,Ford,2013,Automatic,12345,335000
Ford Escape,Ford,2013,Automatic,44000,385000
Ford Escape,Ford,2016,Automatic,77000,515000
Ford Escape,Ford,2016,Automatic,22450,698000
Ford Everest,Ford,2013,Manual,90145,398000
Ford Everest,Ford,2011,Automatic,91000,468000
Ford Everest,Ford,2011,Automatic,60000,498000
Ford Everest,Ford,2014,Automatic,62809,508000
Ford Everest,Ford,2013,Automatic,54000,538000
Ford Everest,Ford,2012,Automatic,75000,538000
Ford Everest,Ford,2013,Automatic,12345,555000
Ford Everest,Ford,2013,Automatic,76000,558000
Ford Everest,Ford,2013,Automatic,80000,558000
Ford Everest,Ford,2013,Automatic,70000,558000
Ford Everest,Ford,2014,Automatic,73000,568000
Ford Everest,Ford,2014,Automatic,80000,568000
Ford Everest,Ford,2014,Automatic,60000,568000
Ford Everest,Ford,2014,Automatic,60000,580000
Ford Everest,Ford,2014,Automatic,100000,585000
Ford Everest,Ford,2013,Automatic,76000,588000
Ford Everest,Ford,2014,Automatic,42000,588000
Ford Everest,Ford,2014,Automatic,48000,588000
Ford Everest,Ford,2014,Automatic,48000,598000
Ford Everest,Ford,2014,Automatic,40000,598000
Ford Everest,Ford,2012,Automatic,68198,598000
Ford Everest,Ford,2013,Automatic,78336,620000
Ford Everest,Ford,2014,Automatic,81000,698000
Ford Everest,Ford,2016,Manual,79000,718000
Ford Everest,Ford,2016,Automatic,57237,768000
Ford Everest,Ford,2013,Automatic,85000,788000
Ford Everest,Ford,2017,Automatic,50000,788000
Ford Everest,Ford,2015,Automatic,39000,798000
Ford Everest,Ford,2016,Manual,68000,798000
Ford Everest,Ford,2017,Automatic,123456,798000
